q_no,q_statement,q_markdown,a,b,c,d,correct_option,explanation,exam,year,subject_name,section_name,topic_name,subtopic_name,microtopic_name,unit,is_check,for_review,added_at,updated_at
126,"<p>Which of the following are Financial Committees of Indian Parliament?</p>

<ol>
	<li>Estimates Committee</li>
	<li>Public Accounts Committee</li>
	<li>Committee on Public Undertakings</li>
	<li>Joint Committee on Salaries and Allowance for Members of Parliament</li>
</ol>

<p>Select the correct answer using code given below:</p>","Which of the following are Financial Committees of Indian Parliament?

  1. Estimates Committee
  2. Public Accounts Committee
  3. Committee on Public Undertakings
  4. Joint Committee on Salaries and Allowance for Members of Parliament

Select the correct answer using code given below:","1,3 and4","1,2 and 4","1,2 and 3","2,3 and 4",c,"Exp) Option c is the correct answer
Financial Committees of Indian Parliament are;
+ Estimates Committee
« Public Account Committee
* Committee on Public Undertakings
Important Tips
Joint Committee on Salaries and Allowance for Members
of Parliament
| e The Joint Committee was constituted to frame rules
under the Salaries and Allowances of Members of
Parliament Act, 1954.
> It consists of 10 members from Lok Sabha and 5 from
Rajya Sabha.
[« The members of the Joint Committee elect its chairman.",RAS/RTS Prelims,2018,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474735+00:00,2025-06-21T17:27:54.560225+00:00
127,"<p>Which of the following terminology is/are mentioned in the Preamble of the Right to Information Act, 2005?</p>

<ol>
	<li>Transparency of Information</li>
	<li>Revelation of Information</li>
	<li>Informed Citizenry</li>
	<li>Paramountcy of the democratic ideal</li>
</ol>

<p>Select the correct answer using code given below:</p>","Which of the following terminology is/are mentioned in the Preamble of the
Right to Information Act, 2005?

  1. Transparency of Information
  2. Revelation of Information
  3. Informed Citizenry
  4. Paramountcy of the democratic ideal

Select the correct answer using code given below:",1 only,1 and 2,"1,2 and 3","1,2,3 and 4",d,"Exp) Option d is the correct answer.
The Preamble of the Right to Information Act, 2005 is as
follows:
Whereas the Constitution of India has established democratic
Republic;
And whereas democracy requires an informed citizenry
and transparency of information which are vital to its
functioning and also to contain corruption and to hold

Governments and their instrumentalities accountable to the

governed;

And whereas revelation of information in actual practice is

likely to conflict with other public interests including efficient

operations of the Governments, optimum use of limited
fiscal resources and the preservation of confidentiality of
sensitive information;

And whereas it is necessary to harmonies these conflicting

interests while preserving the paramountcy of the

democratic ideal;

Now, therefore, it is expedient to provide for furnishing

certain information to citizens who desire to have it.

Important Tips
Right to Information (RTI): i
e It is an act of the Parliament of India which sets out |
the ruies and procedures regarding citizens’ right 0 |
information. |
e Under the provisions of the RII Act, any citizen |
of India may request information from a “public |
authority” (a body of Government or instrumentality
of State) which is required to reply expeditiously or |
within thirty days. |
« In case of the matter involving a petitioner’s life and |
liberty, the information has to be provided within 48 |
hours. |
e ‘The Act also requires every public authority to |
computerize their records for wide dissemination and
to proactively publish certain categories of information
so that the citizens need minimum recourse to request
information formally.",RAS/RTS Prelims,2018,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474763+00:00,2025-06-21T17:28:45.173054+00:00
128,"<p>Which of the following statements are correct in reference to rule of procedure for Motion for Adjournment on a matter of public importance in Rajasthan Legislative Assembly?</p>

<ol>
	<li>Speaker&rsquo;s consent necessary to make motion.</li>
	<li>&nbsp;The motion raises a question of privilege.&nbsp;</li>
	<li>.The motion shall be restricted to a specific matter of recent occurrence.</li>
	<li>Not more than one such motion shall be made at the same sitting.</li>
</ol>

<p>Select the correct answer using code given below:</p>","Which of the following statements are correct in reference to rule of
procedure for Motion for Adjournment on a matter of public importance in
Rajasthan Legislative Assembly?

  1. Speaker's consent necessary to make motion.
  2.  The motion raises a question of privilege. 
  3. .The motion shall be restricted to a specific matter of recent occurrence.
  4. Not more than one such motion shall be made at the same sitting.

Select the correct answer using code given below:",1 and 3,"1,2and4","1,3 and 4",1 and 2,c,"Exp) Option c is the correct answer.

The rule of procedure for Motion for Adjournment on a

matter of public importance includes:

« A motion for an adjournment of the business of the
House for the purpose of discussing a definite matter of
urgent public importance may be made with the consent
of the Speaker.

¢ The motion should raise a matter which is definite,
factual, urgent and of public importance.

° The motion should not cover more than one matter,
and should be restricted to a specific matter of recent
occurrence.

« The motion should not raise a question of privilege, nor
should it revive discussion on a matter that has been
discussed in the same session,

¢ Not more than one such motion shall be made at the
same sitting.",RAS/RTS Prelims,2018,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474789+00:00,2025-06-21T17:29:52.189357+00:00
129,<p>Which among the following group of States/ Union Territories has only one seat in the Lok Sabha?</p>,"Which among the following group of States/ Union Territories has only one seat
in the Lok Sabha?","Goa, Meghalaya, Nagaland","Manipur, Dadra and Nagar Haveli, Puducherry","Arunachal Pradesh, Sikkim, Lakshadweep","Chandigarh, Sikkim, Mizoram",d,"Exp) Option d is the correct answer.

The group of States/Union Territories that has only one

seat in the Lok Sabha includes Chandigarh, Sikkim, and

Mizoram, The number of seats in the Lok Sabha varies for

different states and union territories based on factors such
as population.
Important Tips |
State with Highest Lok Sabha Seat- Uttar Pradesh (80 |
seats).
States with only one Lok Sabha seat:
« Mizoram |
« Nagaland |
¢ Sikkim
Union Territories with only one Lok Sabha seat:
« Andaman and Nicobar Islands
e« Chandigarh
« Dadra and Nagar Haveli
« Daman and Diu
e Lakshadweep
| « Puducherry",RAS/RTS Prelims,2016,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474814+00:00,2025-06-21T17:30:17.597499+00:00
130,<p>The objective of Right to Information Act is to-</p>,The objective of Right to Information Act is to-,Secure access to information from public authorities.,Provide information to the public through a person who has the information.,Provide information by Government on a public place.,Secure information by police from culprits.,a,"Exp) Option a is the correct answer.
The objective of the Right to Information Act is to secure
access to information from public authorities. The Act
provides a mechanism for citizens to access information held
by public authorities, ensuring transparency, accountability,
and promoting good governance.
It empowers individuals to seek information and obtain
records, documents, and other relevant information
from public authorities. The Act aims to enhance citizen
participation, promote informed decision-making, and hold
public authorities accountable for their actions.",RAS/RTS Prelims,2007,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474838+00:00,2025-06-21T17:30:46.983247+00:00
131,"<p>Which of the following statements is/ are true in reference to the joint sitting of Parliament for passage of bill?</p>

<p>(i) Provision for Joint sitting is applicable for ordinary bills, financial bills and constitutional amendment bills</p>

<p>(ii) In no situation, Deputy Chairman of Rajya Sabha can preside over the joint sitting</p>

<p>(iii) Quorum of 1/6th of the total number of members of both houses to be maintained for joint sitting</p>

<p>Code:</p>","Which of the following statements is/ are true in reference to the joint
sitting of Parliament for passage of bill?

(i) Provision for Joint sitting is applicable for ordinary bills, financial
bills and constitutional amendment bills

(ii) In no situation, Deputy Chairman of Rajya Sabha can preside over the
joint sitting

(iii) Quorum of 1/6th of the total number of members of both houses to be
maintained for joint sitting

Code:","(i), (ii) and (iii)",(i) and (ii),(ii) and (iii),None of these,d,"Exp) Option d is the correct answer.
Statement 1 is incorrect: Provision for Joint sitting is
applicable for only ordinary bills and financial bills.
There is no provision of joint sitting for deadlock on the
Constitutional amendment bills. Constitutional amendment
bill must be passed by each House separately.
Statement 2 is incorrect: The Speaker of Lok Sabha presides
over a joint sitting of the two Houses and the Deputy
Speaker, in his absence. If the Deputy Speaker is also absent
from a joint sitting, the Deputy Chairman of Rajya Sabha
presides. If he is also absent, such other person as may be
determined by the members present at the joint sitting,
presides over the meeting. Hence, Deputy Chairman of
Rajya Sabha can preside over the joint sitting.
Statement 3 is incorrect: The quorum to constitute a joint
sitting is one-tenth (not one-sixth) of the total number of
members of the two Houses. The joint sitting is governed by
the Rules of Procedure of Lok Sabha and not of Rajya Sabha.",CGPCS Prelims,2021,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474864+00:00,2025-06-21T17:31:25.368186+00:00
132,<p>Which of the following Committees does not come under the jurisdiction of Lok Sabha?&nbsp;</p>,"Which of the following Committees does not come under the jurisdiction of Lok
Sabha?",committee on Social Justice and Empowerment,Committee on Urban Development,Committee on Labour,Committee on Health and Family Welfare,d,"Exp) Option d is the correct answer
Lok Sabha is composed of representatives of the people
chosen by direct election on the basis of adult suffrage.

Jurisdiction of Lok Sabha

« Committee on Social Justice and Empowerment

* Committee on Urban Development

« Committee on Labour

The Committee on Health and Family Welfare is not under

the Lok Sabha Jurisdiction",CGPCS Prelims,2021,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474890+00:00,2025-06-21T17:31:47.056120+00:00
133,"<p>In the following questions, there are two statements. One is labelled as Assertion and other is labelled as Reason (R):</p>

<p>Assertion (A): The courts are barred from enquiring into the advice rendered by the ministers to the Governor.</p>

<p>Reason (R): There is no provision in the Indian Constitution for the system of legal responsibility of the ministers in the States.</p>

<p>In the context of the above two statements which of the following is correct?</p>","In the following questions, there are two statements. One is labelled as
Assertion and other is labelled as Reason (R):

Assertion (A): The courts are barred from enquiring into the advice rendered
by the ministers to the Governor.

Reason (R): There is no provision in the Indian Constitution for the system of
legal responsibility of the ministers in the States.

In the context of the above two statements which of the following is correct?","Both Assertion and Reason (R) are true,
and Reason (R) is correct explanation of Assertion","Both Assertion and Reason (R) are true,
but Reason (R) is not correct explanation
of Assertion","Assertion is true, but Reason (R) is false","Assertion is false, but Reason (R) is true",a,"Exp) Option a is the correct answer.

Assertion(A) is correct: Article 163 of the Constitution

of India reads: The question of whether any and if so what,

advice was tendered by Ministers to the Governor shall not
be inquired into in any Court.

Reason (R) is correct: There is no provision in the Indian

Constitution for the system of legal responsibility of the

ministers in the States. Therefore, Both Assertion (A)

and Reason (R) are true but Reason (R) is the correct

explanation of Assertion (A)",CGPCS Prelims,2021,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474915+00:00,2025-06-21T17:32:14.459421+00:00
134,"<p>Match the articles related to State Legislature:</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:100%"">
	<tbody>
		<tr>
			<td>List 1</td>
			<td>List 2</td>
		</tr>
		<tr>
			<td>A. Constitution of&nbsp;legislature in States</td>
			<td>1. Article&nbsp;178</td>
		</tr>
		<tr>
			<td>B. The Speaker and Deputy&nbsp;Speaker of the Legislative</td>
			<td>2. Article&nbsp;199</td>
		</tr>
		<tr>
			<td>C. Salaries and allowances&nbsp;of members</td>
			<td>3. Article 168</td>
		</tr>
		<tr>
			<td>D. Definition of &lsquo;Money&nbsp;Bills</td>
			<td>4. Article&nbsp;195</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>

<p>Code: A B C D</p>","Match the articles related to State Legislature:

List 1 | List 2  
---|---  
A. Constitution of legislature in States | 1\. Article 178  
B. The Speaker and Deputy Speaker of the Legislative | 2\. Article 199  
C. Salaries and allowances of members | 3\. Article 168  
D. Definition of 'Money Bills | 4\. Article 195  
  


Code: A B C D",1 2 3 4,4 2 1 3,3 1 4 2,2 3 1 4,c,"Exp) Option c is the correct answer.

* Constitution of Legislatures in States: Article 168 states
that every state shall have a legislature consisting of the
Governor and either one house (Legislative Assembly)
or two houses (Legislative Council and Legislative
Assembly).

*« The Speaker and Deputy Speaker of the Legislative
Assembly: Article 178 states that every Legislative
Assembly of a State shall choose two members of the
Assembly to be the Speaker and Deputy Speaker, and fill
the vacancies whenever they arise.

« Salaries and allowances of members: Article 195 states
that members of the Legislative Assembly and the
Legislative Council of a State shall be entitled to receive

. such salaries and allowances as may from time to time be
determined by the Legislature of the State by law.

¢ Definition of ‘Money Bills: Article 199 is about the
definition of Money Bills. A Money Bill is a bill that
deals with the allocation of funds, such as taxes, public
spending, borrowing, and custody of the state’s funds.

Important Tips

« A Money Bill can only be introduced in the Legislative
Assembly of a state and can only be passed or rejected
by it.

¢ The Legislative Council of a state can only make
recommendations on a Money Bill within 14 days, but
the Legislative Assembly can accept or reject them.

¢ The Speaker of the Legislative Assembly has the final
authority to decide whether a bill is a Money Bill or
not, and his decision is final.

« A Money Bill has to be certified by the Speaker before |
it is sent to the Governor for assent ee |",CGPCS Prelims,2021,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474943+00:00,2025-06-21T17:36:25.896402+00:00
135,<p>The merger of a political party with another political party in India is recognized in which of the following conditions?</p>,"The merger of a political party with another political party in India is
recognized in which of the following conditions?","When not less than one-third members of
the legislature party have agreed to such
merger.","When not less than half members of the
legislature party have agreed to such
merger.","When not less than two-third members of
the legislature party have agreed to such
merger.","When not less than three-fourth members
of the legislature party have agreed to
such merger.",c,"Exp) Option c is the correct answer.

The recognition of a merger of a political party with another

political party in India is subject to certain conditions as per

the Tenth Schedule of the Indian Constitution, also known

as the Anti-Defection Law. According to the Anti-Defection

Law, a merger of a political party with another party is

recognized if not less than two-thirds of the members of

the legislature party have agreed to such merger.
Important Tips

If a member, after being elected as the presiding officer |

of the House, voluntarily gives up the membership of |

his party or rejoins it after he ceases to hold that office,
he would not be disqualified on the grounds of Anti |

Defection Law. This exemption has been provided in view |

of the dignity and impartiality of this office.",CGPCS Prelims,2019,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474970+00:00,2025-06-21T17:36:46.504942+00:00
136,"<p>What will be happened if President summons for the joint session of Parliament and in the meantime, Lok Sabha dissolved?</p>","What will be happened if President summons for the joint session of Parliament
and in the meantime, Lok Sabha dissolved?","Joint session will be held in scheduled
time",Joint session will be cancelled,"Joint session will be held after composition
of New Lok Sabha",Bill will be lapsed,a,"Exp) Option a is the correct answer.
Joint sitting is an extraordinary machinery provided by the
Constitution to resolve a deadlock between the two Houses
over the passage of a bill. If the bill (under dispute) has
already lapsed duc to the Dissolution of the Lok Sabha, no
joint sitting can be summoned. But, the joint sitting can be
held if the Lok Sabha is dissolved after the President has
notified his intention to summon such a sitting (as the bill
does not lapse in this case). After the President notifies his
intention to summon a joint sitting of the two Houses, none
of the Houses can proceed further with the bill.

Important Tips

Joint Sitting:

« A deadlock is deemed to have taken place under any
one of the following three situations after a bill has
been passed by one House and transmitted to the other
House:

« if the bill is rejected by the other House;

« if the Houses have finally disagreed as to the
amendments to be made in the bill; or

» if more than six months have elapsed from the date of
the receipt of the bill by the other House without the
bill being passed by it.

¢ In the above three situations, the president can

| summon both the Houses to meet in a joint sitting for

| the purpose of deliberating and voting on the bill.",CGPCS Prelims,2018,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.474995+00:00,2025-06-21T17:36:52.539776+00:00
137,<p>Which of the following doesn&rsquo;t take the oath of the office?</p>,Which of the following doesn't take the oath of the office?,President,Vice-President,Speaker,Prime Minister,c,"Exp) Option c is the correct answer. ,

The Speaker of the Lok Sabha is elected by the members of
the Lok Sabha and does not need to take an oath of office.
The President, Vice-President, Prime Minister, and Members
of the Council of Ministers, all take the oath of office.",CGPCS Prelims,2017,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475021+00:00,2025-06-21T17:37:01.506393+00:00
138,"<p>What is correct about the State Legislative Council? ;</p>

<p>(i) Its tenure is 6 years</p>

<p>(ii) It is a permanent House</p>

<p>(iii) It cannot be dissolved</p>

<p>(iv) 1/6 members are elected by local institutions</p>

<p>(v) 1/6 members are elected by legislative assembly</p>

<p>(vi) Every two years 1/3 members are retired</p>

<p>(vii) Deputy Governor is the Chairman of House</p>

<p>(viii) The tenure of its members is 6 years</p>

<p>Code:</p>","What is correct about the State Legislative Council? ;

(i) Its tenure is 6 years

(ii) It is a permanent House

(iii) It cannot be dissolved

(iv) 1/6 members are elected by local institutions

(v) 1/6 members are elected by legislative assembly

(vi) Every two years 1/3 members are retired

(vii) Deputy Governor is the Chairman of House

(viii) The tenure of its members is 6 years

Code:","(i), (iii), (iv), (v)","(iii), (vi), (vii), (viii)","(ii), (iii), (vi), (viii)","(ii), (iv), (i), (viii)

(€) (is (ii), (¥), (vii)",c,"Exp) Option c is the correct answer.

Statement t is incorrect: The tenure of the State Legislative
Council is not six years, but its members have a term of six
years.

Statement 2 is correct: Unlike the State Legislative Assembly,
which can be dissolved by the Governor on the advice of the
Chief Minister, the State Legislative Council is a permanent
body. It is not subject to Dissolution.

Statement 3 is correct: State Legislative Council cannot be
dissolved. It continues to exist and functions as a legislative
body even during times of political upheaval or government
changes.

Statement 4 is incorrect: One-third (not one-sixth)
members of the House to be elected by electorates consisting
of members of municipalities, district boards and such other
local authorities in the State as Parliament may by law specify
Statement 5 is incorrect: One-third (not one-sixth)
members to be elected by the members of the Legislative
Assembly of the State from amongst persons who are not
members of the Assembly

Statement 6 is correct: As per the Constitution, one-third of
the members of the State Legislative Council retire every
two years. This arrangement ensures a continuous rotation
of members and prevents a complete overhaul of the council
at once,

Statement 7 is incorrect: The State Legislative Council
is presided over by a chairman who is not the Deputy
Governor but is elected from among its members. The
Chairman's position is similar to that of the Speaker in the
State Legislative Assembly.

Statement 8 is correct: The members of the State Legislative
Council serve a term of six years, and their tenure is not
subject to Dissolution during this period. Members may
retire, be replaced, or continue for the full six-year term
depending on the rotation system.",CGPCS Prelims,2015,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475046+00:00,2025-06-21T17:38:09.822473+00:00
139,<p>The tenure of which Lok Sabha was about 6 years?</p>,The tenure of which Lok Sabha was about 6 years?,5th Lok Sabha,7th Lok Sabha,9th Lok Sabha,11th Lok Sabha,a,"Exp) Option a is the correct answer.

The tenure of the 5th Lok Sabha was about 6 years. The Lok
Sabha is the lower house of the Parliament of India, and its
usual term duration is 5 years. However, the 5th Lok Sabha’s
tenure was extended due to the declaration of a state of
emergency in India from 1975 to 1977.",CGPCS Prelims,2014,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475071+00:00,2025-06-21T17:38:24.588386+00:00
140,<p>Who among the following can participate in the deliberations of Lok Sabha while being a member of Rajya Sabha?</p>,"Who among the following can participate in the deliberations of Lok Sabha
while being a member of Rajya Sabha?","Nominated member of Rajya Sabha who
is an expert in a field",Deputy Chairperson of Rajya Sabha,Minister who is a member of Rajya Sabha,None of these,c,"Exp) Option c is the correct answer.

A minister who is a member of the Rajya Sabha is permitted to
participate in the deliberations of the Lok Sabha, as stated by Article
88 of the Indian Constitution. This provision grants them the right
to speak and engage in the proceedings of the lower house.",CGPCS Prelims,2013,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475097+00:00,2025-06-21T17:39:33.752273+00:00
141,<p>Privilege motion can be raised against a Minister when he-</p>,Privilege motion can be raised against a Minister when he-,Loses confidence in the Government.,Absents himself for a long time.,"Withholds facts of a case or gives distorted
versions of Facts.",Limit value.,c,"Exp) Optiou c is the correct answer.

Privilege motion is concerned with the breach of
parliamentary privileges by a minister. It is moved by a
member when he feels that a minister has committed a breach
of privilege of the Ifouse or one or more of its members by

withholding facts of a case or by giving wrong or distorted

facts. Its purpose is to censure the concerned minister.
Important Tips

Motions: |

* No discussion ona matter of general public importance
can take place except on a motion made with the
consent of the presiding officer.

« The House expresses its decisions or opinions on
various issues through the adoption or rejection of
motions moved by either ministers or private members.

« The motions moved by the members to raise discussions
on various matters fall into three principal categories:

* Substantive Motion: It is a self-contained independent
proposal dealing with a very important matter like
impeachment of the President or removal of Chief
Election Commissioner,

« Substitute Motion: It is a motion that is moved in
substitution of an original motion and proposes an
alternative to it. If adopted by the House, it supersedes
the original motion.

e Subsidiary Motion: It is a motion that, by itself, has
no meaning and cannot state the decision of the House
without reference to the original motion or proceedings
of the House.",CGPCS Prelims,2011,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475123+00:00,2025-06-21T17:39:43.318942+00:00
142,<p>Which of the following is not true about the Anti-Defection Bill?</p>,Which of the following is not true about the Anti-Defection Bill?,"An M.P. or an M.L.A. will be disqualified
if he has voluntarily given up the
membership of the party to which he
belonged.","In the event of a member’s absence from
voting in the House on a particular issue,
an M.P. or M.L.A. will be disqualified.","A member shall not be disqualified if
there is a merger of political parties.","The Speaker of the Lok Sabha will not be
disqualified if he becomes a member of
another political party later on.",d,"Exp) Option d is the correct answer.

According to the exception rule of the Anti-Defection Bill,
in order to uphold the dignity and impartiality of the office,
if a member is elected as the presiding officer of the House,
they are exempted from disqualification if they voluntarily
relinquish their party membership or rejoin the party
after they cease to hold that office.",CGPCS Prelims,2011,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475148+00:00,2025-06-21T17:40:08.665082+00:00
143,<p>Which one of the following provisions deals with the privileges and immunities of the Members of Parliament under the Constitution of India?</p>,"Which one of the following provisions deals with the privileges and immunities
of the Members of Parliament under the Constitution of India?",Article 104,Article 105,Article 82,Article 117,b,"Exp) Option b is the correct answer.

The Constitution under Article 105 expressedly mentioned
two privileges, that is, freedom of speech in Parliament and
right of publication of its proceedings.",CGPCS Prelims,2011,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475174+00:00,2025-06-21T17:40:29.264972+00:00
144,<p>The state wise seat allocation in Lok Sabha is based on-</p>,The state wise seat allocation in Lok Sabha is based on-,Population,Area,Poverty,Language,a,"Exp) Option a is the correct answer.

The state-wise seat allocation in the Lok Sabha is based on
the population of the state as per the latest census. ‘This
is as per Article 81(1) of the Constitution of India. The
number of seats allotted to a state is determined by dividing
the population of the state by the average population of a
parliamentary constituency in India.",CGPCS Prelims,2005,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475200+00:00,2025-06-21T17:40:33.430541+00:00
145,<p>The Lok Sabha Secretariat comes under the direct supervision of:</p>,The Lok Sabha Secretariat comes under the direct supervision of:,Ministry of Home Affairs,Ministry of Parliamentary Affairs,President of India,Lok Sabha Speaker,d,"Exp) Option d is the correct answer.

The Lok Sabha Secretariat is the administrative body of
the Lok Sabha, the lower house of the Parliament of India.
It comes under direct supervision of Lok Sabha Speaker.
It is headed by the Secretary-General of the Lok Sabha.

The Lok Sabha Secretariat is responsible for the day-to-day
functioning of the Lok Sabha, including the preparation of
the agenda, the conduct of debates, and the recording of
votes.",UKPCS Prelims,2012,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475230+00:00,2025-06-21T17:40:37.949574+00:00
146,"<p>State Legislative Assembly can participate in the election of which of the following:</p>

<p>I. President of India</p>

<p>II. Vice-President of India</p>

<p>III. Members of Rajya Sabha</p>

<p>IV. Members of Legislative Council</p>

<p>Select the correct answer:</p>","State Legislative Assembly can participate in the election of which of the
following:

I. President of India

II. Vice-President of India

III. Members of Rajya Sabha

IV. Members of Legislative Council

Select the correct answer:","i, ii and iii","i, iii and IV",I and III,"I, Il and IV",b,"Exp) Option b is the correct answer.
State Legislative Assembly can participate in the election of
President of India, Rajya Sabha Members and Members of
Legislative Council of the state.
The vice president is elected by an electoral college
consisting of members of both Houses of Parliament, in
accordance with the system of proportional representation
by means of the single transferable vote and the voting in
such election is by secret ballot.

Important Tips

¢ President of India: The President is elected by the
members of an electoral college consisting of the elected
members of both the Houses of Parliament and the
elected members of the Legislative Assemblies of States
and the Union ‘Territories of Delhi and Pondicherry.

* Rajya Sabha members: The Rajya Sabha, or Council
of States, is the upper house of Parliament. It has
245 members, of which 233 are elected by the elected
members of the State Legislative Assemblies using
single transferable votes through Open Ballot.

« Members of Legislative Council of the State: One-
third members of the Council are elected by members
of the Legislative Assembly from among persons who
are not members of either House of Parliament or
either House of Legislature.",UKPCS Prelims,2012,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475256+00:00,2025-06-21T17:42:05.262403+00:00
147,"<p>Which of the following statements about the Committee on Public Undertakings is/ are correct?</p>

<ol>
	<li>There are more members from the Rajya Sabha than the Lok Sabha in the Committee.</li>
	<li>The Chairperson of the Committee is appointed by the Speaker of the Lok Sabha.</li>
</ol>

<p>Select the correct answer using the code given below.</p>","Which of the following statements about the Committee on Public Undertakings
is/ are correct?

  1. There are more members from the Rajya Sabha than the Lok Sabha in the Committee.
  2. The Chairperson of the Committee is appointed by the Speaker of the Lok Sabha.

Select the correct answer using the code given below.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,"Exp) Option b is the correct answer.

Statement 1 is incorrect- The Committee on Public
Undertakings consists of members from both the Rajya
Sabha (Council of States) and the Lok Sabha (House of the
People). The committee has a total of 22 members, out of
which 15 members are from the Lok Sabha, and 7 members
are from the Rajya Sabha. .

Statement 2 is correct- The Chairperson of the Committee
is appointed by the Speaker of the Lok Sabha. ‘The
Chairperson plays a significant role in presiding over the
committee’s meetings, organizing its activities, and ensuring
effective functioning.",CAPF,2022,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475281+00:00,2025-06-21T17:42:25.833918+00:00
148,<p>Which one of the following statements is not correct?</p>,Which one of the following statements is not correct?,A censure motion can be moved. against a single Minister of the Council of Ministers.,"A motion of no-confidence cannot be
moved against the Prime Minister alone.","A censure motion cannot be moved
against the entire Council of Ministers.","A censure motion can be moved against a
group of Ministers.",c,"Exp) Option c is the correct answer.

A censure motion is a motion that expresses strong
disapproval of the actions of a minister or group of
ministers. Censure motions can be moved against individual
ministers, groups of ministers, or even the entire Council
of Ministers.

Important Tips |

Some other types of motion in the Parliament: |

« No-Confidence Motion: A motion moved in the
Parliament to test the support and confidence of the

| ruling government. If the motion is passed, it indicates
| a lack of confidence in the government, potentially
| leading to its resignation. |
| + Adjournment Motion: A motion moved to suspend
the regular business of the Parliament and discuss
| &
| a matter of urgent public importance. It leads to the
| adjournment of the current proceedings to address the
specific issue raised in the motion.
| « Calling Attention Motion: A motion moved by a
member of Parliament to bring attention to an urgent
matter that requires immediate government attention
and response. It seeks to elicit a response from the
concerned minister.

- Cut Motion: A motion moved to reduce the amount of
a demand presented in the budget. It can be of three
types: Policy Cut, Economy Cut, and Token Cut. It
allows inembers to express their dissatisfaction or
disagreement with the proposed expenditure.

¢ Motion of Thanks: A motion moved to express
gratitude and appreciation to the President of India
for their address to the joint session of Parliament at

L the beginning of a new session,",CAPF,2022,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475307+00:00,2025-06-21T17:42:47.048779+00:00
149,<p>Which one of the following statements about Public Accounts committee is correct?</p>,"Which one of the following statements about Public Accounts committee is
correct?","The committee Consists of not more than 15 members from the Lok Sabha and 10
members from the Rajya Sabha.","The finance minister is an ex officio
member of the Committee.","A member of the Committee is given a
term for one year.","The term of the office of the members of
the Committee from the Rajya Sabha is
extended even when they retire from the
Rajya Sabha.",c,"Exp) Option c is the correct answer.

The Public Accounts Committee (PAC) is a parliamentary
conmimitiee in India that plays a crucial role in cnsuring
financial accountability and transparency in government
expenditures. It examines the audit reports of the
Comptroller and Auditor General (CAG) and scrutinizes
the financial operations of the government. Members of the
Public Accounts Committee are appointed for a term of one
year. After the term expires, new members are appointed or
elected to the committee.",CAPF,2021,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475332+00:00,2025-06-21T17:43:14.988328+00:00
150,<p>Who among the following warned his colleagues that the Constituent Assembly was British made and was &ldquo;working the British plan as the British should like it to be worked out&rdquo;?</p>,"Who among the following warned his colleagues that the Constituent Assembly
was British made and was ""working the British plan as the British should like
it to be worked out""?",Somnath Lahiri,B.R. Ambedkar,Shyama Prasad Mukherjee,B.N. Rau,a,"Exp) Option a is the correct answer.

Somnath Lahiri was a member of the Constituent Assembly
of India and a prominent Icader of the Communist Party
of India. He was a vocal critic of the British rule in India
and he believed that the Constituent Assembly was not
truly representative of the Indian people. In a speech in
the Constituent Assembly on 19 December 1946, Lahiri said
that the Constituent Assembly was “British made” and that it
was “working the British plan as the British should like it to
be worked out”. lle argued that the Assembly was dominated
by the Indian National Congress, which was a party that had
closc tics to the British government",CAPF,2021,Polity,,,,,6,TRUE,FALSE,2025-06-19T12:00:22.475357+00:00,2025-06-21T17:43:23.376069+00:00
